Investor,What happens in the event of a Borrower delay or default on a repayment?,"A default event is defined as 2 consecutive delayed repayments. If a Borrower delays to repay 2 consecutive repayments, the loan is considered defaulted and the default procedure is triggered. In case of collateralized loans, the default procedure consists of liquidating the collateral and using the proceeds of the liquidation to repay the outstanding principle to Investors. In case of non collateralized loans, Crowdo will engage the Borrower to explore potential repayment options while keeping the Investor informed of the progresses.",,Apa yang terjadi ketika Peminjam terlambat atau gagal bayar?,"Kondisi gagal bayar adalah kondisi dimana secara dua bulan berturut turut terjadi keterlambatan bayar. Apabila peminjam terlambat melakukan pembayaran secara dua bulan berturut turut maka proses gagal bayar akan dilakukan. Dalam pinjaman dengan jaminan, proses gagal bayar akan dilanjuti dengan likuidasi jaminan dan hasil dari likuidasi akan digunakan untuk membayar pokok pinjaman kepada investor. Untuk pinjaman tanpa jaminan, Crowdo akan melakukan mediasi kepada peminjam untuk potensi solusi pembayaran kembali dengan menginformasikan proses yang sedang berjalan kepada investor."
Investor,What is the Loan Grade?,"The Loan Grade is a Crowdo's proprietary index of the loan risk profile. There are 6 levels: A+ (less risky), A, B, C, D, E (higher risk). There are several factors used to assess the risk of a loan and assign the Grade. Some of the factors are: Borrower's past repayment history, Borrower's financial situation and assets pledged as collateral to a loan. In general riskier investments are expected to give higher return to Investors to compensate for the risk taken.",,Apa yang dimaksud kelas pinjaman?,"Kelas Pinjaman adalah tolak ukur Crowdo untuk menganalisa profil resiko debitur. Terdapat 6 kelas pinjaman yaitu: A+ (minimum resiko), A, B, C, D, E (resiko lebih tinggi. Terdapat beberapa faktor yang digunakan untuk menganalisa resiko pinjaman dan klasifikasi kelas. Beberapa faktor adalah sebagai berikut: Sejarah pembayaran debitur, kondisi keuangan debitur dan aset yang diberikan sebagai jaminan pinjaman. Secara umum investasi dengan resiko lebih tinggi akan memberikan hasil investasi yang lebih tinggi kepada investor sebagi kompensasi atas resiko yang diambil."
Investor,How is the repayment schedule calculated?,"The loan repayment is calculated using an effective annual interest rate. The annual effective interest rate is the annual rate that is charged for borrowing (or made by investing) which takes into account the compounding effect.
 
The loan repayment schedule is calculated to give investor a constant monthly repayment amount which pay off his/her investment with the specified interest rate, over the specified period. 
 
The constant monthly installment amount is calculated using the PMT formula in Excel: Monthly Installment = PMT(Effective Annual Interest Rate/12, # of repayments, loan principle) 
 
The break down of monthly principle repayment and monthly interest repayment can be calculated as following:
 a) Monthly principle repayment amount is calculated using the PPMT formula in Excel: Principle Repayment Month n = PPMT(Effective Annual Interest Rate/12, n, # of repayments, loan principle) 
 
b) Monthly interest repayment amount is calculated using the IPMT formula in Excel: Interest Repayment Month n = IPMT(Effective Annual Interest Rate/12, n, # of repayments, loan principle) 
 
You can also calculate the monhly interest repayment using the following formula: 
Interest Amount Month n = (Oustanding Balance Mount n) * (Effective Annual Interest Rate) / 12",,Bagaimana cara perhitungan pembayaran kembali?,"Pembayaran kembali di hitung dengan bunga efektif dalam satu tahun. Bunga efektif dalam satu tahun adalah bunga dikenakan kepada debitur (atau dalam hal investasi) dimana perhitungan dengan penggabungan. Jadwal pembayaran pinjaman dihitung untuk memberikan investor jumlah pembayaran bulanan secara konstan yang membayar / investasinya dengan tingkat bunga yang ditentukan, dalam jangka waktu tertentu. Jumlah angsuran bulanan secara konstan dihitung dengan menggunakan rumus PMT di Excel: Angsuran Bulanan = PMT (Suku Bunga Tahunan Efektif / 12, # dari pembayaran, pokok pinjaman. Perhitungan pembayaran pokok dan bunga bulanan dapat dihitung sebagai berikut: a) Pembayaran bulanan atas pokok pinjaman dihitung dengan menggunakan rumus PPMT di Excel: Pembayaran Pokok Bulanan n = PPMT (Efektif Tingkat Bunga / 12, n, # dari pembayaran, pokok pinjaman)
 
 b) pembayaran bulanan atas bunga dihitung dengan menggunakan rumus IPMT di Excel: Pembayaran Bunga Bulanan n = IPMT (Efektif Tingkat Bunga / 12, n, # dari pembayaran, pokok pinjaman)
 
 Anda juga dapat menghitung pembayaran bunga bulanan menggunakan rumus sebagai berikut:
 Jumlah Bulan n = (Oustanding Balance Mount n) * (Suku Bunga Tahunan Efektif) / 12"
Investor,What is the effective interest rate?,"The effective interest rate is the annualized rate that is charged for borrowing (or made by investing) which takes into account the compounding effect. 
 
As an Investor, you will receive every month a repayment which includes monthly principle repayment plus monthly interest return. The monthly interest return is calculated every month as the agreed interest rate on the outstanding principle. The outstanding principle is the amount you invested minus all the monthly principles already repaid to you.",,Apa yang dimaksud dengan bunga efektif?,"Suku bunga efektif adalah tingkat suku bungatahunan yang dibebankan untuk meminjam (atau dibuat dengan berinvestasi) dengan metode pengabungan.
 
 Sebagai Investor Anda akan menerima setiap bulan pembayaran yang meliputi pembayaran pokok bulanan ditambah imbal hasil bunga bulanan. Imbal hasil bunga bulanan dihitung setiap bulan sebagai tingkat bunga yang telah disepakati pada pokok pinjaman. Sisa pokok pinjaman adalah jumlah yang diinvestasikan dikurangi dengan semua pokok bulanan sudah dilunasi kepada Anda."
Investor,What is the annual percentage rate (APR)?,"The annual percentage rate is the annual rate that is charged for borrowing (or made by investing), expressed as a single percentage number that represents the actual yearly cost of funds over the term of a loan. If the investor invest 10,000 SGD in a 12 month loan with 10% annual percentage rate and monthly repayment, the monthly interest amount is calculated at 10% of the principle such as: month 1 return = (10% on 10k SGD)/12, month 2 return = (10% of 10k SGD)/12, month 3 return = 10% of IDR 10k SGD)/12, etc.",,apa yang dimaksud dengan persentase bunga tahunan?,"Tingkat persentase bunga tahunan adalah tingkatbunga tahunan yang dibebankan untuk meminjam (atau dibuat dengan berinvestasi), dinyatakan dalam persentase yang merupakan biaya tahunan secara aktual selama jangka pinjaman. Apabila investor berinvestasi sebesar Rp. 10,000 di pinjaman dengan jangka waktu 12 bulan dengan 10% tingkat persentase tahunan dan pembayaran bulanan, perhitungan bunga bulanan dihitung sebesar 10% dari pokok seperti: bulan 1 imbal hasil = (10% dari 10k SGD) / 12 , bulan 2 imbal hasil = (10% dari 10k SGD) / 12, bulan 3 imbal hasil = 10% dari Rp 10k SGD) / 12, dll"
Investor,Can I withdraw/modify my investment Bid?,"Investors can cancel or modify their investment bids at any time during the cooling off period. You can cancel/modify your investment bid from the My Investments section of the website. After a loan cooling off period, you will not be allowed to cancel or modify your investments.",,Apakah saya dapat menarik kembali partisipasi atau memodifikasil investasi saya?,"Investor dapat membatalkan atau memodifikasi tawaran investasi mereka setiap saat selama masa tenang. Anda dapat membatalkan / memodifikasi tawaran investasi Anda dari bagian My Investasi website. Setelah pendinginan pinjaman off period, Anda tidak akan diizinkan untuk membatalkan atau mengubah investasi Anda."
Investor,Can I withdraw my investment?,You will be able to withdraw your Available Balance (committed amount is excluded) from your online account any time after 1 month from your first topup.,,Apakah Saya bisa menarik investasi saya?,Anda dapat menarik Saldo yang tersedia (diluar jumlah saldo yang Anda masukkan ke penawaran) dari akun online Anda setiap saat setelah 1 bulan dari topup pertama Anda.
Investor,What does All-or-Nothing mean?,All-or-Nothing means that the Borrowers only gets access to the Investor funds if it has achieved its target fundraise amount.,,Apakah arti dari All-or-Nothing?,All-or-Nothing berarti bahwa Peminjam hanya mendapatkan akses ke dana Investor jika telah mencapai jumlah target penggalangan dana nya.
Investor,Which legal documents do I get as an Investor in a loan?,You will have a Participation Agreement where you appoint Crowdo as your agent for that specific investment and a Promissory Note which constitutes the actual loan agreement between you and the Borrower.,,Dokumen apa saja yang saya dapatkan sebagai Investor di pinjaman?,Anda akan memiliki Perjanjian Partisipasi dimana Anda menunjuk Crowdo sebagai agen Anda untuk investasi yang spesifik dan Promissory Note yang merupakan perjanjian pinjaman yang sebenarnya antara Anda dan peminjam.
Investor,Why do I need to Top Up to be able to invest?,"To be able to bid an amount to a Loan during the Loan fundraising period, you need to have an available balance in your online account, which is equal to or greater than the amount you want to bid. This amount will be frozen in your account until the end of the fundraising period and labeled as ""Bid Amount"". If the fundraising is successful, the amount will be invested in the selected loan. If the fundraising is not successful, the Bid Amount will be release to your online account.",,Kenapa Saya harus Top Up untuk dapat berinvestasi?,"Untuk dapat menawar di pinjaman selama periode penggalangan dana, Anda harus memiliki saldo yang tersedia di akun online Anda, yang sama dengan atau lebih dari jumlah yang ingin Anda tawarkan. Jumlah ini akan dibekukan di akun Anda sampai akhir periode penggalangan dana dan diberi label sebagai ""Jumlah Penawaran"". Jika penggalangan dana berhasil jumlah tersebut akan diinvestasikan ke dalam pinjaman yang dipilih, jika penggalangan dana tersebut tidak berhasil, Jumlah Penawaran tersebut akan dilepas ke akun online Anda."
Investor,"I have zero balance, can I still bid?","Yes, If your account balance is zero you can still bid for a loan by doing the following:
 1 - Bid the amount you want on a selected loan. Your bid will be added to your investment cart in Pending status. 
 2 - You can add more bids to your investment cart to build your investment portfolio
 3 - When you have finished bidding, click on the ""Checkout"" button to go the checkout page.
 4 - In the check out page click on Top Up button to confirm you want to checkout those bids. 
 5 - The bid will be added to your ""My Portfolio"" in Pending Status until you top-up the required amount.
 6 - If you do not top-up within 3 days, your Pending Bids will be cancelled.",,"Saya memiliki saldo nol, apakah saya masih dapat menawar?","Ya, Jika saldo account Anda adalah nol Anda masih dapat mengajukan tawaran untuk pinjaman dengan melakukan hal berikut:
 1 - Tawarkan jumlah yang Anda inginkan ke pinjaman yang dipilih. Tawaran Anda akan ditambahkan ke keranjang investasi dengan status Tertunda.
 2 - Anda dapat menambahkan lebih banyak tawaran ke keranjang investasi untuk membangun portofolio investasi Anda
 3 - Bila Anda telah selesai melakukan penawaran, klik tombol ""Checkout"" untuk masuk ke halaman checkout.
 4 - Di halaman Checkout, klik tombol Top Up untuk mengkonfirmasi bahwa Anda ingin melakukan checkout untuk tawaran tersebut
 5 - Tawaran akan ditambahkan ke daftar ""My Portofolio"" Anda dengan Status Tertunda sampai Anda melakukan jumlah top-up yang dibutuhkan.
 6 - Jika Anda tidak melakukan top-up dalam 3 hari, Tawaran Tertunda Anda akan dibatalkan."
Investor,How do I Top Up my account?,"To be able to Top Up your account, you need to be a Qualified Investor. 
 If you are an Investor you can click on ""My Account"" and ""Top Up"" to find the instructions to top-up your online account. To top-up you need to:
 1 - Transfer the amount you want to add to your online account to a designated bank account via regular bank transfer. In the transaction description, add your online account number which you can find in the Top Up page.(Minimum top up amount is IDR 2,000,000).
 2 - Scan or take a picture of the proof of payment and upload to you online account in the Top-Up page.
 3 - As soon as your transfer is confirmed, your account balance will be updated accordingly",,Bagaimana cara Top Up akun saya?,"Untuk dapat melakukan Top Up, Anda perlu menjadi Investor yang memenuhi kualifikasi.
 Jika Anda seorang Investor, Anda dapat mengklik ""My Account"" dan ""Top Up"" untuk menemukan petunjuk top-up akun online Anda. Untuk top-up Anda perlu melakukan hal berikut:
 1 - Transfer jumlah yang ingin Anda tambahkan ke akun online Anda ke rekening bank yang ditunjuk melalui transfer bank biasa. Dalam uraian transaksi tambahkan nomor akun online Anda yang dapat ditemukan di halaman Top Up. ) Jumlah minimum top up adalah Rp 2.000.000).
 2 - Scan atau foto bukti pembayaran dan upload ke akun Anda secara online di halaman Top-Up.
 3 - Setelah transfer dikonfirmasi saldo akun Anda akan langsung diperbarui."
Investor,Why is my Bid Pending?,"When you Check Out a Bid and you don't have enough funds in your online account, the bid will be saved in your ""My Portfolio"" section in Pending status until you top-up your account with the required funds.

If you top-up the required amount within 5 days from your bid, your pending bid will be automatically confirmed.

If you don't top-up the required amount with 5 days from your bid, the pending bid will be cancelled",,Mengapa penawaran Saya Tertunda?,"Apabila Anda hendak melakukan Check Out terhadap tawaran dan Anda tidak memiliki cukup dana dalam akun online Anda, tawaran akan disimpan di bagian ""My Portfolio"" dalam status Tertunda sampai Anda melakukan top-up dengan dana yang dibutuhkan.
 Jika Anda melakukan top-up jumlah yang diperlukan dalam waktu 5 hari dari tawaran, tawaran yang tertunda akan otomatis dikonfirmasi.
 Jika Anda tidak top-up jumlah yang diperlukan dalam waktu 5 hari dari tawaran, tawaran tertunda akan dibatalkan"
Investor,How is the collateral handled?,The collateral is pledged by the Borrower before the loan is disbursed. The collateral is always safeguarded by one of our trusted partners who has secured facilities for collateral management. The collateral is returned to the Borrower upon completed and successful repayment of the loan.,,Bagaimana jaminan ditangani?,Agunan akan dijaminkan oleh peminjam sebelum pinjaman tersebut dicairkan. Agunan selalu dijaga oleh salah satu mitra terpercaya kami yang memiliki fasilitas yang aman untuk manajemen agunan. Agunan dikembalikan ke peminjam setelah pengembalian pinjaman selesai dilakukan.
Investor,How is Loan-To-Value (LTV) % of the collateral calculated?,"The value of the collateral is evaluated at the time of loan application by a professional with relevant experience in assessing same/similar assets. The LTV is calculated as a % of the collateral assessment taking into account the quality of the asset, any Borrower historical repayment performance and other factors.",,Bagaimana presentase Loan To Value (LTV) dari agunan dihitung?,"Nilai agunan dievaluasi pada saat pengajuan pinjaman oleh seorang profesional dengan pengalaman yang relevan dalam menilai aset yang sama / sejenis. LTV dihitung sebagai % dari penilaian agunan memperhitungkan kualitas aset, sejarah pembayaran peminjam dan faktor lainnya."
Investor,Are there any fees when I withdraw my money?,"Crowdo does not charge any fee if you withraw your money, but the amount you receive would be netted by bank transfer fee. The amount of transfer fee will depend on the type of transfer as well as the fee of your local banks.",,Apakah ada biaya ketika Saya menarik uang Saya?,"Crowdo tidak mengenakan biaya apapun jika Anda menarik uang, tetapi jumlah yang Anda terima akan dipotong sesuai dengan biaya transfer bank. Jumlah biaya transfer akan tergantung pada jenis transfer serta biaya dari bank lokal Anda."
Investor,What is the tax implication for Indonesia Tax Resident Investors?,"Note: The following does not constitute, nor should be considered as tax or investment advice. Investors must consult personally with their tax advisor to understand the tax implications most relevant to their personal situation.
 
Generally, income derived from transactions processed through the platform are subject to tax. For Indonesia Tax Residents, the reference tax rate is 15% (income tax) applied to the interest earned from their investment returns.
 
In order to incoporate this income into your tax reporting efficiently, Investors should consider engaging with a tax consultant.",,,
Investor,What is the tax implication for Non Indonesia Resident Investors?,"Note: The following does not constitute, nor should be considered as tax or investment advice. Investors must consult personally with their tax advisor to understand the tax implications most relevant to their personal situation.
 
 The interest payments from Borrower(s) to Non Indonesian Resident Investors would be deemed as income originated in Indonesia and subject to withholding tax. The liability to withhold rests with Borrower. Therefore, in connection with the loan, there should be no Indonesian tax implications for Non Indonesia Resident Investors.",,Apa implikasi pajak untuk Investor bukan Warga Negara Indonesia?,"(Catatan: Berikut ini bukan merupakan, atau harus dianggap sebagai anjuran pajak atau investasi. Investor harus berkonsultasi secara pribadi dengan penasihat pajak mereka untuk memahami implikasi pajak yang paling relevan dengan situasi pribadi mereka.)
 
 Pembayaran bunga dari peminjam ke investor yang bukan Warga Negara Indonesia akan dianggap sebagai pendapatan berasal di Indonesia dan tunduk pada pemotongan pajak. Kewajiban tersebut terletak pada peminjam. Oleh karena itu, sehubungan dengan pinjaman, seharusnya tidak ada implikasi pajak Indonesia untuk Investor yang bukan penduduk Indonesia."
Investor,What is the Exchange Rate Risk?,"Exchange rate risk or currency risk is a form of risk that arises from the change of exchange rate of one currency against another. These fluctuations result from the unpredictable gains and losses incurred when profits from foreign investments are converted from the foreign currency into investor's currency.For example, if your money denomination is not SGD when you invest in SGD loans, your investment is exposed to exchange rate risk.",,Apa Risiko Nilai Tukar?,"Resiko nilai tukar atau mata uang adalah bentuk risiko yang timbul dari perubahan nilai tukar satu mata uang terhadap yang lain. Fluktuasi ini hasil dari keuntungan dan kerugian tak terduga yang terjadi ketika keuntungan dari investasi asing dikonversi mata uang asing ke mata uang investor. For investor, jika denominasi uang Anda bukan SGD, ketika Anda berinvestasi dalam pinjaman SGD investasi Anda akan terkena risiko nilai tukar."
